Model,Decoder,Activation,Dropout,Loss,LR,WeightDecay,Posweight,Epochs,Encoder FT,Freeze Blocks,Params,Acc,Prec,Rec,F1,mDSC,mIoU,Exp
deeplabV3,original,,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],41998934,0.9074,0.9274,0.967,0.9468,0.7936,0.8992,1
deeplabV3,original,,0.1,CombinedLoss,0.001,0.0,1.0,30,Yes,[],41998934,0.9066,0.9333,0.9587,0.9458,0.7931,0.8975,2
deeplabV3,original,,0.1,CombinedLoss,0.001,0.0,1.0,50,Yes,[],41998934,0.9065,0.9262,0.9671,0.9462,0.7935,0.8982,3
deeplabV3,original,,0.1,CombinedLoss,0.001,0.01,1.0,20,Yes,[],41998934,0.8958,0.8999,0.9877,0.9416,0.7933,0.8901,4
deeplabV3,original,,0.1,CombinedLoss,0.001,0.01,1.0,30,Yes,[],41998934,0.8945,0.8974,0.9894,0.9411,0.7933,0.8891,5
deeplabV3,original,,0.1,CombinedLoss,0.001,0.01,1.0,50,Yes,[],41998934,0.9009,0.9068,0.9849,0.9442,0.7938,0.8946,6
deeplabV3,original,,0.1,CombinedLoss,0.001,0.001,1.0,20,Yes,[],41998934,0.9011,0.9059,0.9864,0.9444,0.7939,0.8949,7
deeplabV3,original,,0.1,CombinedLoss,0.001,0.001,1.0,30,Yes,[],41998934,0.9008,0.9063,0.9854,0.9442,0.7938,0.8946,8
deeplabV3,original,,0.1,CombinedLoss,0.001,0.001,1.0,50,Yes,[],41998934,0.9049,0.9137,0.981,0.9461,0.7941,0.898,9
deeplabV3,original,,0.1,CombinedLoss,0.001,1e-05,1.0,20,Yes,[],41998934,0.9042,0.9281,0.9621,0.9448,0.793,0.8956,10
deeplabV3,original,,0.1,CombinedLoss,0.001,1e-05,1.0,30,Yes,[],41998934,0.9084,0.926,0.9698,0.9474,0.7939,0.9003,11
deeplabV3,original,,0.1,CombinedLoss,0.001,1e-05,1.0,50,Yes,[],41998934,0.906,0.9207,0.9734,0.9463,0.7938,0.8984,12
deeplabV3,original,,0.1,CombinedLoss,0.001,0.0001,1.0,20,Yes,[],41998934,0.9066,0.9195,0.9758,0.9467,0.794,0.8992,13
deeplabV3,original,,0.1,CombinedLoss,0.001,0.0001,1.0,30,Yes,[],41998934,0.9072,0.9199,0.976,0.9471,0.7941,0.8998,14
deeplabV3,original,,0.1,CombinedLoss,0.001,0.0001,1.0,50,Yes,[],41998934,0.9041,0.9105,0.9841,0.9459,0.7941,0.8976,15
