Model,Decoder,Activation,Dropout,Loss,LR,WeightDecay,Posweight,Epochs,Encoder FT,Freeze Blocks,Params,Acc,Prec,Rec,F1,mDSC,mIoU,Exp
deeplabV3,original,,0.1,CombinedLoss,0.001,0,,20,Yes,[],41998934,0.8996,0.9135,0.9736,0.9426,0.7912,0.8916,3
deeplabV3,original,,0.1,CombinedLoss,0.0001,0,,20,Yes,[],41998934,0.8877,0.9293,0.9385,0.9338,0.7879,0.8762,6
deeplabV3,original,,0.1,BCEWithLogitsLoss,0.001,0,,20,Yes,[],41998934,0.8965,0.9243,0.9558,0.9397,0.7899,0.8867,9
deeplabV3,original,,0.1,BCEWithLogitsLoss,0.0001,0,,20,Yes,[],41998934,0.8857,0.9325,0.932,0.9321,0.7873,0.8733,11
deeplabV3,original,,0.1,WeightedDiceLoss,0.001,0,0.5,20,Yes,[],41998934,0.8999,0.9172,0.9693,0.9425,0.791,0.8915,13
deeplabV3,original,,0.1,WeightedDiceLoss,0.001,0,1,20,Yes,[],41998934,0.9026,0.9109,0.981,0.9446,0.792,0.8953,14
deeplabV3,original,,0.1,WeightedDiceLoss,0.001,0,2,20,Yes,[],41998934,0.8913,0.8906,0.9942,0.9394,0.7913,0.8861,15
deeplabV3,original,,0.1,WeightedDiceLoss,0.0001,0,0.5,20,Yes,[],41998934,0.8808,0.9224,0.9376,0.9298,0.787,0.8693,16
deeplabV3,original,,0.1,WeightedDiceLoss,0.0001,0,1,20,Yes,[],41998934,0.8855,0.9044,0.9668,0.9345,0.7892,0.8775,17
deeplabV3,original,,0.1,WeightedDiceLoss,0.0001,0,2,20,Yes,[],41998934,0.8752,0.8816,0.9852,0.9304,0.789,0.8703,18
