Model,Decoder,Activation,Dropout,Loss,LR,WeightDecay,Posweight,Epochs,Encoder FT,Freeze Blocks,Params,Acc,Prec,Rec,F1,mDSC,mIoU,Exp
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3714401,0.9739,0.9795,0.9914,0.9854,0.8121,0.9713,1
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,1.0,30,Yes,[],3714401,0.9744,0.979,0.9925,0.9857,0.8122,0.9718,2
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,1.0,50,Yes,[],3714401,0.9752,0.9807,0.9917,0.9861,0.8123,0.9727,3
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.01,1.0,20,Yes,[],3714401,0.9699,0.9776,0.9888,0.9831,0.8115,0.9668,4
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.01,1.0,30,Yes,[],3714401,0.9697,0.9783,0.9878,0.983,0.8115,0.9667,5
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.01,1.0,50,Yes,[],3714401,0.9706,0.9792,0.9879,0.9835,0.8116,0.9676,6
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.001,1.0,20,Yes,[],3714401,0.9728,0.9784,0.9913,0.9848,0.812,0.9701,7
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.001,1.0,30,Yes,[],3714401,0.974,0.9813,0.9896,0.9854,0.812,0.9713,8
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.001,1.0,50,Yes,[],3714401,0.974,0.9803,0.9907,0.9855,0.8121,0.9713,9
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,1e-05,1.0,20,Yes,[],3714401,0.9739,0.9792,0.9917,0.9854,0.8121,0.9712,10
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,1e-05,1.0,30,Yes,[],3714401,0.9747,0.9801,0.9916,0.9858,0.8122,0.9721,11
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,1e-05,1.0,50,Yes,[],3714401,0.9756,0.9806,0.9921,0.9863,0.8124,0.9731,12
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0001,1.0,20,Yes,[],3714401,0.9733,0.9777,0.9926,0.9851,0.8121,0.9706,13
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0001,1.0,30,Yes,[],3714401,0.9743,0.9808,0.9905,0.9856,0.8121,0.9717,14
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0001,1.0,50,Yes,[],3714401,0.9758,0.9817,0.9912,0.9864,0.8123,0.9732,15
