Model,Decoder,Activation,Dropout,Loss,LR,WeightDecay,Posweight,Epochs,Encoder FT,Freeze Blocks,Params,Acc,Prec,Rec,F1,mDSC,mIoU,Exp
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,0.5,20,Yes,[],3714401,0.9677,0.9729,0.9889,0.9808,0.7951,0.9623,1
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3714401,0.9675,0.9719,0.9897,0.9808,0.7952,0.9622,2
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,1.5,20,Yes,[],3714401,0.9675,0.973,0.9886,0.9807,0.7951,0.9622,3
segformer-b0-finetuned-ade-512-512,original,,0.1,CombinedLoss,0.001,0.0,2.0,20,Yes,[],3714401,0.9689,0.9772,0.9857,0.9814,0.7951,0.9636,4
segformer-b0-finetuned-ade-512-512,original,,0.1,BCEWithLogitsLoss,0.001,0.0,0.5,20,Yes,[],3714401,0.9681,0.9756,0.9865,0.981,0.795,0.9627,5
segformer-b0-finetuned-ade-512-512,original,,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3714401,0.9667,0.97,0.9908,0.9803,0.7951,0.9614,6
segformer-b0-finetuned-ade-512-512,original,,0.1,BCEWithLogitsLoss,0.001,0.0,1.5,20,Yes,[],3714401,0.9673,0.9725,0.9888,0.9806,0.7951,0.9619,7
segformer-b0-finetuned-ade-512-512,original,,0.1,BCEWithLogitsLoss,0.001,0.0,2.0,20,Yes,[],3714401,0.9686,0.9768,0.9859,0.9813,0.7951,0.9634,8
segformer-b0-finetuned-ade-512-512,original,,0.1,WeightedDiceLoss,0.001,0.0,0.5,20,Yes,[],3714401,0.967,0.9858,0.9746,0.9801,0.7943,0.9611,9
segformer-b0-finetuned-ade-512-512,original,,0.1,WeightedDiceLoss,0.001,0.0,1.0,20,Yes,[],3714401,0.9685,0.9777,0.9848,0.9812,0.795,0.9632,10
segformer-b0-finetuned-ade-512-512,original,,0.1,WeightedDiceLoss,0.001,0.0,1.5,20,Yes,[],3714401,0.9657,0.9709,0.9887,0.9797,0.7949,0.9602,11
segformer-b0-finetuned-ade-512-512,original,,0.1,WeightedDiceLoss,0.001,0.0,2.0,20,Yes,[],3714401,0.9633,0.965,0.9921,0.9783,0.7948,0.9576,12
