Model,Decoder,Activation,Dropout,Loss,LR,WeightDecay,Posweight,Epochs,Encoder FT,Freeze Blocks,Params,mDSC,mIoU,Exp
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.001,0,1,20,Yes,[],3714401,0.8091,0.9694,1
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.001,0.01,1,20,Yes,[],3714401,0.8083,0.9636,2
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.001,0.001,1,20,Yes,[],3714401,0.8089,0.9686,3
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.001,1.00E-05,1,20,Yes,[],3714401,0.8091,0.9699,4
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.001,0.0001,1,20,Yes,[],3714401,0.809,0.9697,5
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.0001,0,1,20,Yes,[],3714401,0.8075,0.96,6
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.0001,0.01,1,20,Yes,[],3714401,0.8065,0.9492,7
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.0001,0.001,1,20,Yes,[],3714401,0.8076,0.9592,8
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.0001,1.00E-05,1,20,Yes,[],3714401,0.8078,0.9611,9
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,CombinedLoss,0.0001,0.0001,1,20,Yes,[],3714401,0.8076,0.9602,10
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.001,0,1,20,Yes,[],3714401,0.809,0.97,11
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.001,0.01,1,20,Yes,[],3714401,0.8084,0.9645,12
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.001,0.001,1,20,Yes,[],3714401,0.8088,0.9673,13
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.001,1.00E-05,1,20,Yes,[],3714401,0.8091,0.9696,14
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.001,0.0001,1,20,Yes,[],3714401,0.8091,0.9698,15
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.0001,0,1,20,Yes,[],3714401,0.8077,0.9608,16
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.0001,0.01,1,20,Yes,[],3714401,0.8069,0.9535,17
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.0001,0.001,1,20,Yes,[],3714401,0.8076,0.9593,18
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.0001,1.00E-05,1,20,Yes,[],3714401,0.8074,0.9588,19
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,CombinedLoss,0.0001,0.0001,1,20,Yes,[],3714401,0.8077,0.9603,20
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.001,0,1,20,Yes,[],3714401,0.809,0.9694,21
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.001,0.01,1,20,Yes,[],3714401,0.8084,0.965,22
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.001,0.001,1,20,Yes,[],3714401,0.8088,0.9678,23
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.001,1.00E-05,1,20,Yes,[],3714401,0.8091,0.9695,24
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.001,0.0001,1,20,Yes,[],3714401,0.809,0.9693,25
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.0001,0,1,20,Yes,[],3714401,0.8077,0.9607,26
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.0001,0.01,1,20,Yes,[],3714401,0.8071,0.954,27
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.0001,0.001,1,20,Yes,[],3714401,0.8078,0.9605,28
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.0001,1.00E-05,1,20,Yes,[],3714401,0.8078,0.9607,29
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,CombinedLoss,0.0001,0.0001,1,20,Yes,[],3714401,0.8074,0.9588,30
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.001,0,1,20,Yes,[],3714401,0.809,0.9694,31
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.001,0.01,1,20,Yes,[],3714401,0.8085,0.9652,32
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.001,0.001,1,20,Yes,[],3714401,0.809,0.969,33
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.001,1.00E-05,1,20,Yes,[],3714401,0.8091,0.9699,34
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.001,0.0001,1,20,Yes,[],3714401,0.8089,0.9697,35
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.0001,0,1,20,Yes,[],3714401,0.8078,0.9611,36
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.0001,0.01,1,20,Yes,[],3714401,0.807,0.955,37
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.0001,0.001,1,20,Yes,[],3714401,0.8077,0.9608,38
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.0001,1.00E-05,1,20,Yes,[],3714401,0.8078,0.9615,39
segformer-b0-finetuned-ade-512-512,original,ReLU,0.1,BCEWithLogitsLoss,0.0001,0.0001,1,20,Yes,[],3714401,0.8076,0.9598,40
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0,1,20,Yes,[],3714401,0.8091,0.9684,41
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0.01,1,20,Yes,[],3714401,0.8084,0.9633,42
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0.001,1,20,Yes,[],3714401,0.8089,0.9688,43
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,1.00E-05,1,20,Yes,[],3714401,0.809,0.969,44
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0.0001,1,20,Yes,[],3714401,0.809,0.9685,45
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0,1,20,Yes,[],3714401,0.8078,0.9617,46
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0.01,1,20,Yes,[],3714401,0.8072,0.9569,47
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0.001,1,20,Yes,[],3714401,0.8077,0.9606,48
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,1.00E-05,1,20,Yes,[],3714401,0.8078,0.9612,49
segformer-b0-finetuned-ade-512-512,original,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0.0001,1,20,Yes,[],3714401,0.8076,0.9612,50
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.001,0,1,20,Yes,[],3714401,0.809,0.9685,51
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.001,0.01,1,20,Yes,[],3714401,0.8085,0.965,52
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.001,0.001,1,20,Yes,[],3714401,0.8089,0.9691,53
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.001,1.00E-05,1,20,Yes,[],3714401,0.809,0.9688,54
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.001,0.0001,1,20,Yes,[],3714401,0.809,0.9697,55
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.0001,0,1,20,Yes,[],3714401,0.8077,0.961,56
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.0001,0.01,1,20,Yes,[],3714401,0.807,0.9537,57
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.0001,0.001,1,20,Yes,[],3714401,0.8077,0.9602,58
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.0001,1.00E-05,1,20,Yes,[],3714401,0.8078,0.9612,59
segformer-b0-finetuned-ade-512-512,original,GELU,0.1,BCEWithLogitsLoss,0.0001,0.0001,1,20,Yes,[],3714401,0.8079,0.9617,60
,,,,,,,,,,,,,,
,,,,,,,,,,,,0.8091,,
