Model,Decoder,Activation,Dropout,Loss,LR,WeightDecay,Posweight,Epochs,Encoder FT,Freeze Blocks,Params,mDSC,mIoU,Exp
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,ReLU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3925751,0.7931,0.9493,1
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,ReLU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3925751,0.7924,0.943,2
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,LeakyReLU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3925751,0.794,0.9535,3
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,LeakyReLU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3925751,0.7924,0.9429,4
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,GELU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3925751,0.793,0.9485,5
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,GELU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3925751,0.7916,0.937,6
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,ReLU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3925751,0.7928,0.9436,7
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,ReLU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3925751,0.7921,0.9386,8
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3925751,0.7933,0.9493,9
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3925751,0.7918,0.9398,10
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,GELU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3925751,0.7927,0.9434,11
segformer-b0-finetuned-ade-512-512,conv_relu_dropout,GELU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3925751,0.7924,0.9431,12
segformer-b0-finetuned-ade-512-512,conv_bn_relu,ReLU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3926007,0.7939,0.9548,13
segformer-b0-finetuned-ade-512-512,conv_bn_relu,ReLU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3926007,0.7917,0.939,14
segformer-b0-finetuned-ade-512-512,conv_bn_relu,LeakyReLU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3926007,0.7943,0.957,15
segformer-b0-finetuned-ade-512-512,conv_bn_relu,LeakyReLU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3926007,0.7913,0.9335,16
segformer-b0-finetuned-ade-512-512,conv_bn_relu,GELU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3926007,0.7944,0.9582,17
segformer-b0-finetuned-ade-512-512,conv_bn_relu,GELU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3926007,0.7918,0.9356,18
segformer-b0-finetuned-ade-512-512,conv_bn_relu,ReLU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3926007,0.794,0.9553,19
segformer-b0-finetuned-ade-512-512,conv_bn_relu,ReLU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3926007,0.7926,0.941,20
segformer-b0-finetuned-ade-512-512,conv_bn_relu,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3926007,0.7941,0.956,21
segformer-b0-finetuned-ade-512-512,conv_bn_relu,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3926007,0.7918,0.9371,22
segformer-b0-finetuned-ade-512-512,conv_bn_relu,GELU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3926007,0.7941,0.9548,23
segformer-b0-finetuned-ade-512-512,conv_bn_relu,GELU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3926007,0.7925,0.9417,24
segformer-b0-finetuned-ade-512-512,conv_transpose,ReLU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3829751,0.7956,0.9681,25
segformer-b0-finetuned-ade-512-512,conv_transpose,ReLU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3829751,0.7931,0.9475,26
segformer-b0-finetuned-ade-512-512,conv_transpose,LeakyReLU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3829751,0.7956,0.966,27
segformer-b0-finetuned-ade-512-512,conv_transpose,LeakyReLU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3829751,0.7933,0.9492,28
segformer-b0-finetuned-ade-512-512,conv_transpose,GELU,0.1,CombinedLoss,0.001,0.0,1.0,20,Yes,[],3829751,0.7955,0.9666,29
segformer-b0-finetuned-ade-512-512,conv_transpose,GELU,0.1,CombinedLoss,0.0001,0.0,1.0,20,Yes,[],3829751,0.7926,0.9441,30
segformer-b0-finetuned-ade-512-512,conv_transpose,ReLU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3829751,0.7956,0.9671,31
segformer-b0-finetuned-ade-512-512,conv_transpose,ReLU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3829751,0.793,0.9481,32
segformer-b0-finetuned-ade-512-512,conv_transpose,LeakyReLU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3829751,0.7953,0.9666,33
segformer-b0-finetuned-ade-512-512,conv_transpose,LeakyReLU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3829751,0.794,0.9559,34
segformer-b0-finetuned-ade-512-512,conv_transpose,GELU,0.1,BCEWithLogitsLoss,0.001,0.0,1.0,20,Yes,[],3829751,0.7955,0.9669,35
segformer-b0-finetuned-ade-512-512,conv_transpose,GELU,0.1,BCEWithLogitsLoss,0.0001,0.0,1.0,20,Yes,[],3829751,0.7935,0.9496,36
